time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-15T14:10:01.292Z,-3.9533,-76.6981,104.22,4.5,mb,,96,3.385,0.89,us,us7000ed87,2021-06-15T16:13:10.040Z,"60 km SSW of Alianza Cristiana, Peru",earthquake,7.3,5.3,0.053,106,reviewed,us,us
2021-06-15T14:07:40.891Z,51.4132,179.7373,54,3.8,mb,,181,0.275,0.56,us,us7000edal,2021-06-15T19:05:47.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,6,7.9,0.111,21,reviewed,us,us
2021-06-15T14:01:10.747Z,-9.7312,107.8242,10,4.5,mb,,69,2.26,0.73,us,us7000ed84,2021-06-16T05:00:54.148Z,"263 km S of Kawalu, Indonesia",earthquake,4.3,1.9,0.109,27,reviewed,us,us
2021-06-15T13:57:38.131Z,-33.9862,-72.1264,23.1,4.5,mwr,,141,0.538,0.45,us,us7000ed7w,2021-06-15T21:30:58.084Z,"64 km SW of San Antonio, Chile",earthquake,5.6,5.1,,,reviewed,us,guc
2021-06-15T13:46:01.334Z,31.10307876,-103.3727006,2.969482422,2.8,ml,25,85,0.00007133587842,0.3,tx,tx2021lqnf,2021-06-15T15:36:49.040Z,"33 km WSW of Coyanosa, Texas",earthquake,1.550643294,0.9862531398,0.2,9,reviewed,tx,tx
2021-06-15T13:40:11.894Z,5.0575,125.8573,147.09,4.5,mb,,84,2.018,0.75,us,us7000ed7t,2021-06-15T14:01:34.040Z,"58 km SE of Sarangani, Philippines",earthquake,9,9.1,0.135,16,reviewed,us,us
2021-06-15T12:41:01.540Z,37.392334,-121.7838364,0.37,2.49,md,54,33,0.02279,0.09,nc,nc73577175,2021-06-16T07:18:07.747Z,"5km NE of Alum Rock, CA",earthquake,0.14,0.55,0.12,61,automatic,nc,nc
2021-06-15T12:31:03.442Z,62.1866,-149.6957,35,2.6,ml,,,,0.68,ak,ak0217mqjgod,2021-06-15T14:21:40.040Z,"8 km ENE of Susitna North, Alaska",earthquake,,2.5,,,automatic,ak,ak
2021-06-15T12:14:39.091Z,66.2709,-157.287,3,2.5,ml,,,,0.81,ak,ak0217mqfwa6,2021-06-15T12:20:46.271Z,"69 km S of Shungnak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-06-15T11:24:36.611Z,66.3315,-157.4477,0,2.5,ml,,,,0.79,ak,ak0217mpwlrx,2021-06-15T11:36:30.218Z,"63 km SSW of Shungnak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-06-15T10:57:57.150Z,18.8975,-64.9915,79,3.59,md,12,307,0.6579,0.57,pr,pr2021166009,2021-06-15T11:18:36.889Z,"61 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.22,6.3,0.07,7,reviewed,pr,pr
2021-06-15T10:50:35.150Z,18.9371,-68.4348,8,3.7,md,16,166,0.4266,0.77,pr,pr2021166010,2021-06-15T15:04:22.755Z,"39 km N of Punta Cana, Dominican Republic",earthquake,1.79,3.56,0.2,7,reviewed,pr,pr
2021-06-15T09:55:27.991Z,-5.1446,134.241,10,4.8,mb,,74,2.972,0.7,us,us7000ed6t,2021-06-15T10:49:31.040Z,"173 km ENE of Tual, Indonesia",earthquake,8.3,1.9,0.078,51,reviewed,us,us
2021-06-15T09:45:02.425Z,63.4127,-151.362,6,3.1,ml,,,,0.79,ak,ak0217mou5un,2021-06-15T18:24:08.403Z,"22 km SE of Denali National Park, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-06-15T09:41:44.000Z,63.4604,-151.2697,16.5,3.7,ml,,,,0.74,ak,ak0217mote3j,2021-06-15T10:10:07.913Z,"24 km ESE of Denali National Park, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-06-15T09:36:41.900Z,17.8913,-66.8681,11,2.86,md,18,211,0.1927,0.36,pr,pr2021166008,2021-06-15T11:17:42.810Z,"9 km SSE of Guánica, Puerto Rico",earthquake,1.11,0.89,0.18,6,reviewed,pr,pr
2021-06-15T09:02:33.440Z,17.8916,-66.8721,13,3.15,md,20,212,0.1889,0.24,pr,pr2021166007,2021-06-15T09:39:07.970Z,"9 km SSE of Guánica, Puerto Rico",earthquake,0.87,0.46,0.06,10,reviewed,pr,pr
